空港第２ビル?(4766),10:16着,
,,
天橋立?(9772),11:49着,
,11:53発,
宮津?(9770),11:59着,
,12:03発,
宮村??,レ,
,レ,
喜多??,レ,
,レ,
辛皮??,レ,
,レ,
大江山口内宮??,レ,
,レ,
二俣??,レ,
,レ,
大江高校前??,レ,
,レ,
大江?(9760),12:17着,
,12:21発,
公庄??,レ,
,レ,
下天津??,レ,
,レ,
牧??,レ,
,レ,
荒河かしの木台??,レ,
,レ,
福知山市民病院口??,レ,
,レ,
福知山?(6420),12:34着,
,,
,,
,,
福知山?(6420),,
,12:44発,
石原??,レ,
,レ,
高津??,レ,
,レ,
綾部?(6418),12:55着,
,13:00発,
山家??,レ,
,レ,
立木??,レ,
,レ,
安栖里??,レ,
,レ,
和知?(6417),レ,
,レ,
下山??,レ,
,レ,
胡麻??,レ,
,レ,
鍼灸大学前??,レ,
,レ,
日吉??,レ,
,レ,
船岡??,レ,
,レ,
園部?(6415),13:37着,
,13:38発,
吉富??,レ,
,レ,
八木??,レ,
,レ,
千代川??,レ,
,レ,
並河??,レ,
,レ,
亀岡?(6413),13:48着,
,13:49発,
馬堀??,レ,
,レ,
保津峡??,レ,
,レ,
嵯峨嵐山??,レ,
,レ,
太秦??,レ,
,レ,
花園??,レ,
,レ,
円町??,レ,
,レ,
二条?(6410),14:01着,
,14:02発,
,,
,,
二条?(6410),14:33着,
,14:34発,
円町??,14:36着,
,14:36発,
花園??,14:38着,
,14:38発,
太秦??,14:40着,
,14:41発,
嵯峨嵐山??,14:43着,
,14:43発,
,,
,,
トロッコ嵐山??,17:12着,
,17:12発,
トロッコ保津峡??,17:22着,
,17:22発,
トロッコ亀岡??,17:35着,
,,
,,
,,
トロッコ亀岡??,,
,17:40発,
トロッコ保津峡??,17:53着,
,17:53発,
トロッコ嵐山??,18:04着,
,18:07発,
トロッコ嵯峨??,18:10着,
,,
,,
,,
嵯峨嵐山??,20:33着,
,20:34発,
太秦??,20:36着,
,20:36発,
花園??,20:38着,
,20:39発,
円町??,20:40着,
,20:41発,
二条?(6410),20:43着,
,20:44発,
,,
,,
二条?(6410),21:02着,
,21:02発,
二条城前??,21:04着,
,21:04発,
烏丸御池??,21:06着,
,21:06発,
京都市役所前??,21:08着,
,21:08発,
,,
,,
三条??,10:36着,
,10:43発,
祇園四条??,10:44着,
,10:44発,
清水五条??,10:46着,
,10:46発,
七条??,10:48着,
,10:48発,
東福寺??,10:49着,
,10:49発,
,,
,,
東福寺??,11:03着,
,11:03発,
稲荷??,11:06着,
,11:06発,
ＪＲ藤森??,レ,
,レ,
桃山??,レ,
,レ,
六地蔵??,11:15着,
,11:15発,
木幡??,レ,
,レ,
黄檗??,レ,
,レ,
宇治?(6670),11:21着,
,11:21発,
,,
,,
宇治?(6670),13:51着,
,13:51発,
ＪＲ小倉??,レ,
,レ,
新田??,レ,
,レ,
城陽??,13:56着,
,13:57発,
長池??,レ,
,レ,
山城青谷??,レ,
,レ,
山城多賀??,レ,
,レ,
玉水??,14:04着,
,14:05発,
棚倉??,レ,
,レ,
上狛??,レ,
,レ,
木津??,14:11着,
,14:12発,
平城山??,レ,
,レ,
奈良?(6700),14:18着,
,,
,,
,,
西ノ京??,16:07着,
,16:07発,
尼ヶ辻??,16:09着,
,16:09発,
大和西大寺??,16:11着,
,16:14発,
平城??,16:15着,
,16:16発,
高の原??,16:19着,
,16:19発,
山田川??,16:21着,
,16:22発,
木津川台??,16:23着,
,16:23発,
新祝園??,16:25着,
,16:27発,
狛田??,16:29着,
,16:30発,
近鉄宮津??,16:31着,
,16:32発,
三山木??,16:33着,
,16:33発,
興戸??,16:35着,
,16:35発,
新田辺??,16:37着,
,16:41発,
富野荘??,16:43着,
,16:43発,
寺田??,16:45着,
,16:45発,
久津川??,16:47着,
,16:47発,
大久保??,16:49着,
,16:51発,
伊勢田??,16:53着,
,16:53発,
小倉??,16:55着,
,16:55発,
向島??,16:58着,
,16:58発,
桃山御陵前??,17:01着,
,17:02発,
近鉄丹波橋??,17:03着,
,17:03発,
伏見??,17:05着,
,17:05発,
竹田??,17:07着,
,17:08発,
上鳥羽口??,17:09着,
,17:10発,
十条??,17:11着,
,17:11発,
東寺??,17:13着,
,17:13発,
京都?(6050),17:15着,
,,
,,
,,
京都?(6050),,33
,18:38発,
丹波口??,レ,
,レ,
二条?(6410),18:43着,
,18:44発,
,,
,,
二条?(6410),18:50着,
,18:50発,
二条城前??,18:52着,
,18:52発,
烏丸御池??,18:54着,
,18:54発,
京都市役所前??,18:56着,
,18:56発,
三条京阪??,18:57着,
,18:57発,
,,
,,
三条??,19:27着,
,19:27発,
祇園四条??,19:29着,
,19:29発,
清水五条??,レ,
,レ,
七条??,19:31着,
,19:31発,
東福寺??,レ,
,レ,
鳥羽街道??,レ,
,レ,
伏見稲荷??,レ,
,レ,
深草??,レ,
,レ,
藤森??,レ,
,レ,
墨染??,レ,
,レ,
丹波橋??,19:38着,
,19:38発,
伏見桃山??,レ,
,レ,
中書島??,19:41着,
,19:41発,
淀??,レ,
,レ,
八幡市??,レ,
,レ,
橋本??,レ,
,レ,
樟葉??,19:51着,
,19:51発,
牧野??,レ,
,レ,
御殿山??,レ,
,レ,
枚方市??,19:57着,
,19:57発,
枚方公園??,レ,
,レ,
光善寺??,レ,
,レ,
香里園??,レ,
,レ,
寝屋川市??,レ,
,レ,
萱島??,レ,
,レ,
大和田??,レ,
,レ,
古川橋??,レ,
,レ,
門真市??,レ,
,レ,
西三荘??,レ,
,レ,
守口市??,レ,
,レ,
土居??,レ,
,レ,
滝井??,レ,
,レ,
千林??,レ,
,レ,
森小路??,レ,
,レ,
関目??,レ,
,レ,
野江??,レ,
,レ,
京橋?(6733),20:12着,
,20:12発,
天満橋??,20:15着,
,20:15発,
北浜??,20:16着,
,20:16発,
淀屋橋??,20:18着,
,,
,,
,,
淀屋橋??,20:25着,
,20:26発,
本町??,20:27着,
,20:27発,
,,
,,
本町??,10:11着,
,10:12発,
心斎橋??,10:13着,
,10:14発,
なんば??,10:15着,
,10:16発,
,,
,,
なんば??,12:11着,
,12:12発,
大国町??,12:14着,
,12:14発,
動物園前??,12:16着,
,12:16発,
天王寺?(6395),12:19着,
,,
,,
,,
天王寺?(6395),12:33着,18
,12:35発,
新今宮??,レ,
,レ,
今宮??,レ,
,レ,
芦原橋??,レ,
,レ,
大正??,レ,
,レ,
弁天町??,レ,
,レ,
西九条?(6728),レ,
,レ,
福島??,レ,
,レ,
新大阪?(6100),12:50着,1
,,
,,
,,
新大阪?(6100),,
,12:57発,
西中島南方??,12:58着,
,12:58発,
中津??,13:00着,
,13:01発,
梅田??,13:02着,
,13:03発,
淀屋橋??,13:06着,
,13:06発,
本町??,13:07着,
,13:08発,
,,
,,
本町??,13:55着,
,13:56発,
淀屋橋??,13:57着,
,13:58発,
梅田??,14:00着,
,14:01発,
中津??,14:03着,
,14:03発,
西中島南方??,14:05着,
,14:05発,
新大阪?(6100),14:07着,
,14:07発,
,,
,,
新大阪?(6100),,23
,14:16発,
京都?(6050),14:31着,12
,14:32発,
米原?(5165),14:52着,
,14:57発,
岐阜羽島?(5155),15:11着,
,15:13発,
名古屋?(5100),15:25着,14
,15:26発,
三河安城?(5083),レ,
,レ,
豊橋?(5070),レ,
,レ,
浜松?(5060),レ,
,レ,
掛川?(5056),レ,
,レ,
静岡?(5050),レ,
,レ,
新富士?(5025),レ,
,レ,
三島?(5005),レ,
,レ,
熱海?(4070),レ,
,レ,
小田原?(4060),16:35着,
,16:36発,
新横浜?(4045),16:51着,
,16:52発,
品川?(4010),17:03着,
,17:04発,
東京?(4000),17:10着,15
,,
,,
,,
東京?(4000),,2
,17:22発,
