2018年03月22日,,,,,,,
,,,,,,,
,,JR27.5/1270.8,,,,,
,,,,,,,
札幌-石狩当別,,,,,1-,,
537M,普通,,,,クハ733-3202,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,札幌,ˇ,⑩,,札沼線（学園都市線）,,
ˇ,稚内,ˇ,,,宗谷本線,,
17:46:00,17:46発,17:46:06,,±0,,,
17:49:00,南稚内,17:49:20,①,±0,,,
17:50:00,17:50発,17:50:36,1,±0,,,
,抜海,18:01:56,②,,,,
,レ,,,,,,
,勇知,18:10:00,,,,,
,レ,,,,,,
,兜沼,18:14:15,①,,,,
,レ,,,,,,
,徳満,18:21:50,,,天黑,,
,レ,,,,,,
18:26:00,豊富,18:26:07,①,±0,,,
18:26:00,18:26発,18:26:43,,±0,,,
,下沼,18:33:47,,,,,
,レ,,,,,,
18:40:00,幌延,18:40:21,①,±0,4431D ②,音威子府-稚内,
18:40:00,18:40発,18:41:09,,+1,,,
,上幌延,18:45:25,,,,,
,レ,,,,,,
,南幌延,18:49:32,,,,,
,レ,,,,,,
,安牛,18:51:35,,,,,
,レ,,,,,,
,雄信内,18:54:40,②,,,,
,レ,,,,,,
,糠南,18:59:00,,,,,
,レ,,,,,,
,問寒別,19:01:20,,,,,
,レ,,,,,,
,歌内,19:06:03,,,,,
,レ,,,,,,
19:13:00,天塩中川,19:13:39,②,±0,,,
19:13:00,19:13発,19:14:10,,+1,,,
,佐久,19:21:13,②,,,,
,レ,,,,,,
,筬島,19:59:10,,,因撞鹿区間停車:19:36:25/19:56:00,,
,レ,,,,期間确认走行部三次动車前移一小段,,
19:45:00,音威子府,20:05:45,③,+20,,,
19:45:00,19:45発,20:07:20,3,+22,,,
,咲来,20:11:26,,,,,
,レ,,,,,,
,天塩川温泉,20:13:50,,,,,
,レ,,,,,,
,豊清水,20:17:07,②,,,,
,レ,,,,,,
,恩根内,20:21:35,,,,,
,レ,,,,,,
,紋穂内,20:26:48,,,,,
,レ,,,,,,
,初野,20:28:10,,,,,
,レ,,,,,,
20:11:00,美深,20:32:39,②,+21,4333D ①(+20),名寄-音威子府,
20:11:00,20:11発,20:33:10,,+22,,,
,南美深,20:35:00,,,,,
,レ,,,,,,
,智北,20:37:00,,,,,
,レ,,,,,,
,智恵文,20:39:28,,,,,
,レ,,,,,,
,北星,20:41:00,,,,,
,レ,,,,,,
,日進,20:48:30,,,,,
,レ,,,,,,
20:30:00,名寄,20:52:21,②,+22,332D ③(+11),名寄-旭川,
20:32:00,20:32発,20:54:29,,+22,,,
,東風連,20:57:07,,,,,
,レ,,,,,,
,風連,21:01:06,①,,63D ② 21:02:20(约+8),旭川-稚内,
,レ,21:02:43,,,,,
,瑞穂,21:05:25,,,,,
,レ,,,,,,
,多寄,21:07:00,,,,,
,レ,,,,,,
,下士別,21:09:00,,,,,
,レ,,,,,,
20:47:00,士別,21:12:25,①,+25,,,
20:47:00,20:47発,21:13:16,,+26,,,
,北剣淵,21:16:00,,,,,
,レ,,,,,,
,剣淵,21:18:47,,,,,
,レ,,,,,,
,東六線,21:21:12,,,,,
,レ,,,,,,
20:59:00,和寒,21:24:55,②,+25,,,
20:59:00,20:59発,21:25:50,,+26,,,
,塩狩,21:31:22,②,,,,
,レ,,,,,,
,蘭留,21:32:32,②,,,,
,レ,,,,,,
,北比布,21:34:00,,,,,
,レ,,,,,,
,比布,21:37:20,②,,,,
,レ,,,,,,
,南比布,21:39:34,,,,,
,レ,,,,,,
,北永山,21:42:00,,,,,
,レ,,,,,,
,永山,21:44:50,①,,333D ② キハ40(+14),旭川-名寄,
,レ,,,,,,
,北旭川,21:46:15,上下本线,,直进侧出,,
,レ,,,,出站为複線,,
,新旭川,21:47:05,②,,,,
,レ,,3,,,,
,旭川四条,21:48:45,,,,,
,レ,,,,,,
21:26:00,旭川,21:53:10,⑤,+27,,,
21:30:00,,21:54:43,5,+24,,,
??3(4-2#)???1(1#),,,,,,,
同行者：贾赟、单灵奇、王轶伦、韩抒、程昊琮,,,,,,,
