上道??,レ,
,レ,
東岡山??,レ,
,レ,
高島??,レ,
,レ,
西川原??,レ,
,レ,
岡山?(6200),06:27着,8
,06:34発,
北長瀬??,レ,
,レ,
庭瀬??,レ,
,レ,
中庄??,レ,
,レ,
倉敷?(6205),06:46着,
,06:47発,
清音??,レ,
,レ,
総社?(6244),レ,
,レ,
豪渓??,レ,
,レ,
日羽??,レ,
,レ,
美袋??,レ,
,レ,
備中広瀬??,レ,
,レ,
備中高梁?(6245),07:14着,
,07:14発,
木野山??,レ,
,レ,
備中川面??,レ,
,レ,
方谷??,レ,
,レ,
井倉?(6248),レ,
,レ,
石蟹??,レ,
,レ,
新見?(6250),07:43着,
,07:44発,
備中神代??,レ,
,レ,
足立??,レ,
,レ,
新郷??,レ,
,レ,
上石見??,レ,
,レ,
生山?(6255),レ,
,レ,
上菅??,レ,
,レ,
黒坂??,レ,
,レ,
根雨?(6260),レ,
,レ,
武庫??,レ,
,レ,
江尾??,レ,
,レ,
伯耆溝口??,レ,
,レ,
岸本??,レ,
,レ,
伯耆大山?(6519),レ,
,レ,
東山公園??,レ,
,レ,
米子?(6520),09:03着,
,09:05発,
安来?(6525),09:13着,
,09:14発,
荒島??,レ,
,レ,
揖屋??,レ,
,レ,
東松江??,レ,
,レ,
松江?(6530),09:30着,
,09:31発,
乃木??,レ,
,レ,
玉造温泉?(6532),レ,
,レ,
来待??,レ,
,レ,
宍道?(6535),09:45着,
,09:46発,
荘原?(6537),レ,
,レ,
直江?(6538),レ,
,レ,
出雲市?(6540),09:58着,
,,
,,
,,
出雲市?(6540),10:39着,
,10:41発,
直江?(6538),10:46着,
,10:47発,
荘原?(6537),10:53着,
,10:57発,
宍道?(6535),11:01着,
,11:02発,
来待??,11:06着,
,11:07発,
玉造温泉?(6532),11:13着,
,11:15発,
乃木??,11:20着,
,11:21発,
松江?(6530),11:24着,
,11:29発,
,,
,,
松江しんじ湖温泉??,,
,14:16発,
松江イングリッシュガーデン前??,14:21着,
,14:21発,
朝日ヶ丘??,14:24着,
,14:24発,
長江??,14:27着,
,14:27発,
秋鹿町??,14:29着,
,14:29発,
松江フォーゲルパーク??,14:32着,
,14:32発,
高ノ宮??,14:34着,
,14:34発,
津ノ森??,14:36着,
,14:36発,
伊野灘??,14:39着,
,14:39発,
一畑口??,14:43着,
,14:43発,
園??,14:46着,
,14:46発,
湖遊館新駅??,14:48着,
,14:48発,
布崎??,14:49着,
,14:49発,
雲州平田??,14:54着,
,14:54発,
旅伏??,14:57着,
,14:57発,
美談??,14:59着,
,14:59発,
大寺??,15:01着,
,15:01発,
川跡??,15:04着,
,15:06発,
,,
,,
川跡??,15:03着,
,15:05発,
大寺??,15:08着,
,15:08発,
美談??,15:10着,
,15:10発,
旅伏??,15:13着,
,15:13発,
雲州平田??,15:16着,
,15:16発,
,,
,,
雲州平田??,15:38着,
,15:38発,
旅伏??,15:41着,
,15:41発,
美談??,15:43着,
,15:43発,
大寺??,15:45着,
,15:45発,
川跡??,15:48着,
,15:49発,
,,
,,
川跡??,,
,15:50発,
高浜??,15:53着,
,15:53発,
遙堪??,15:56着,
,15:56発,
浜山公園北口??,15:59着,
,15:59発,
出雲大社前??,16:01着,
,,
,,
,,
出雲大社前??,,
,17:13発,
浜山公園北口??,17:15着,
,17:15発,
遙堪??,17:18着,
,17:18発,
高浜??,17:21着,
,17:21発,
川跡??,17:24着,
,,
,,
,,
川跡??,17:26着,
,17:27発,
武志??,17:28着,
,17:28発,
大津町??,17:32着,
,17:32発,
出雲科学館パークタウン前??,17:34着,
,17:34発,
電鉄出雲市??,17:36着,
,,
,,
,,
出雲市?(6540),,
,08:31発,
直江?(6538),レ,
,レ,
荘原?(6537),レ,
,レ,
宍道?(6535),08:41着,
,08:42発,
来待??,レ,
,レ,
玉造温泉?(6532),08:50着,
,08:50発,
乃木??,レ,
,レ,
松江?(6530),08:56着,
,08:57発,
東松江??,レ,
,レ,
揖屋??,レ,
,レ,
荒島??,レ,
,レ,
安来?(6525),09:12着,
,09:13発,
米子?(6520),09:20着,
,09:22発,
,,
,,
米子?(6520),,
,09:44発,
博労町??,09:46着,
,09:46発,
富士見町??,09:47着,
,09:48発,
後藤??,09:50着,
,09:51発,
三本松口??,09:53着,
,09:54発,
河崎口??,09:56着,
,09:57発,
弓ヶ浜??,10:00着,
,10:01発,
和田浜??,10:05着,
,10:05発,
大篠津町??,10:07着,
,10:08発,
米子空港??,10:11着,
,10:11発,
中浜??,10:13着,
,10:14発,
高松町??,10:16着,
,10:16発,
余子??,10:18着,
,10:18発,
上道??,10:20着,
,10:21発,
馬場崎町??,10:22着,
,10:23発,
境港??,10:25着,
,,
,,
,,
境港??,,
,10:34発,
馬場崎町??,10:36着,
,10:36発,
上道??,10:38着,
,10:39発,
余子??,10:41着,
,10:41発,
高松町??,10:43着,
,10:43発,
中浜??,10:45着,
,10:46発,
米子空港??,10:48着,
,10:48発,
,,
,,
羽田空港国内線ターミナル??,,
,13:23発,
羽田空港国際線ターミナル??,13:25着,
,13:27発,
天空橋??,13:28着,
,13:28発,
穴守稲荷??,13:30着,
,13:30発,
大鳥居??,13:31着,
,13:31発,
糀谷??,13:33着,
,13:33発,
京急蒲田??,13:35着,
,13:36発,
雑色??,レ,
,レ,
六郷土手??,レ,
,レ,
京急川崎??,13:39着,
,13:40発,
,,
,,
川崎?(4020),,
,14:39発,
尻手??,14:42着,
,14:42発,
矢向??,14:44着,
,14:44発,
鹿島田??,14:46着,
,14:46発,
平間??,14:47着,
,14:47発,
向河原??,14:49着,
,14:49発,
武蔵小杉?(4935),14:51着,
,14:51発,
,,
,,
武蔵小杉?(4935),14:59着,
,15:00発,
西大井??,レ,
,レ,
大崎??,15:08着,
,15:08発,
恵比寿??,レ,
,レ,
渋谷?(4088),15:13着,
,15:14発,
新宿?(4115),15:18着,
,15:19発,
,,
,,
新宿?(4115),17:11着,8
,17:11発,
四ツ谷?(4114),17:15着,
,17:15発,
御茶ノ水??,17:20着,
,17:20発,
神田??,17:22着,
,17:22発,
東京?(4000),17:24着,
,,
,,
秋葉原?(4590),18:42着,
,18:42発,
神田??,18:43着,
,18:43発,
東京?(4000),18:46着,
,18:46発,
,,
,,
東京?(4000),18:54着,10
,18:55発,
新橋?(4002),18:57着,
,18:58発,
品川?(4010),19:03着,
,19:04発,
川崎?(4020),19:13着,
,19:13発,
,,
,,
川崎?(4020),10:50着,
,10:51発,
品川?(4010),10:59着,
,11:00発,
,,
,,
品川?(4010),11:04着,
,11:04発,
新橋?(4002),11:08着,
,11:08発,
東京?(4000),11:11着,4
,11:15発,
新日本橋??,11:17着,
,11:17発,
馬喰町??,11:19着,
,11:19発,
錦糸町?(4595),11:24着,
,11:24発,
新小岩?(4596),11:29着,
,11:29発,
市川?(4597),11:34着,
,11:34発,
船橋?(4598),11:40着,
,11:40発,
津田沼?(4599),11:44着,
,11:44発,
稲毛?(4601),11:51着,
,11:51発,
千葉?(4600),11:55着,9
,12:01発,
東千葉??,レ,
,レ,
都賀??,12:05着,
,12:05発,
四街道?(4603),12:08着,
,12:09発,
物井??,12:13着,
,12:13発,
佐倉?(4605),12:17着,
,12:18発,
酒々井??,12:24着,
,12:24発,
成田?(4765),12:31着,
,12:32発,
空港第２ビル?(4766),12:40着,
,12:41発,
成田空港?(4767),12:43着,
,,
,,
