成田空港 (4767),,
中島  ,13:27着,
,13:27発,
南荒子  ,13:28着,
,13:29発,
荒子  ,13:30着,
,13:31発,
小本  ,13:32着,
,13:33発,
笹島信号場  ,レ,
,レ,
ささしまライブ  ,13:35着,
,13:35発,
名古屋 (5100),13:37着,
,,
,,
,,
名古屋 (5100),14:58着,1
,15:01発,
尾頭橋  ,レ,
,レ,
金山 (5099),15:04着,
,15:05発,
,,
,,
金山 (5099),15:23着,
,15:24発,
神宮前  ,15:26着,
,15:27発,
豊田本町  ,レ,
,レ,
道徳  ,レ,
,レ,
大江  ,レ,
,レ,
大同町  ,レ,
,レ,
柴田  ,レ,
,レ,
名和  ,レ,
,レ,
聚楽園  ,レ,
,レ,
新日鉄前  ,レ,
,レ,
太田川  ,レ,
,レ,
尾張横須賀  ,レ,
,レ,
寺本  ,レ,
,レ,
朝倉  ,レ,
,レ,
古見  ,レ,
,レ,
長浦  ,レ,
,レ,
日長  ,レ,
,レ,
新舞子  ,レ,
,レ,
大野町  ,レ,
,レ,
西ノ口  ,レ,
,レ,
蒲池  ,レ,
,レ,
榎戸  ,レ,
,レ,
多屋  ,レ,
,レ,
常滑  ,レ,
,レ,
りんくう常滑  ,レ,
,レ,
中部国際空港  ,15:48着,
,,
